,age,workclass,education,marital_status,occupation,race,gender,hours_per_week,income
2023,40,Private,HS-grad,Married,Sales,White,Male,40,1
2024,18,Other/Unknown,Some-college,Single,Other/Unknown,Other,Female,40,0
2025,41,Self-Employed,HS-grad,Married,White-Collar,White,Male,50,0
2026,63,Private,HS-grad,Widowed,Blue-Collar,Other,Female,40,0
2027,34,Private,Doctorate,Married,Professional,White,Male,45,1
2028,33,Private,Some-college,Married,White-Collar,White,Male,50,0
2029,60,Self-Employed,Prof-school,Married,Sales,White,Male,45,1
2030,32,Government,Some-college,Divorced,White-Collar,White,Female,40,0
2031,32,Private,Assoc,Married,White-Collar,White,Male,45,1
2032,60,Private,Bachelors,Divorced,Professional,White,Female,48,1
2033,30,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
2034,63,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,98,0
2035,40,Private,Masters,Married,Professional,White,Male,60,0
2036,51,Self-Employed,Some-college,Married,Professional,White,Female,40,1
2037,36,Self-Employed,Prof-school,Married,Blue-Collar,White,Male,60,0
2038,84,Private,HS-grad,Widowed,Professional,White,Female,16,0
2039,30,Other/Unknown,Bachelors,Single,Other/Unknown,Other,Female,50,0
2040,32,Self-Employed,Bachelors,Married,Sales,White,Male,47,0
2041,23,Private,HS-grad,Married,Blue-Collar,White,Male,30,0
2042,23,Self-Employed,Some-college,Single,Blue-Collar,White,Male,35,0
2043,46,Private,Assoc,Divorced,Professional,White,Female,40,0
2044,20,Private,Some-college,Single,White-Collar,Other,Female,40,0
2045,33,Private,School,Divorced,Service,White,Female,45,0
2046,62,Private,Bachelors,Married,Professional,White,Male,50,1
2047,43,Private,School,Married,Blue-Collar,Other,Male,40,0
2048,49,Government,School,Widowed,Blue-Collar,White,Male,40,1
2049,47,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
2050,43,Government,Masters,Married,White-Collar,White,Male,40,1
2051,33,Self-Employed,Some-college,Married,White-Collar,White,Male,45,0
2052,29,Private,Assoc,Married,White-Collar,White,Male,40,0
2053,20,Private,Some-college,Single,White-Collar,White,Female,20,0
2054,44,Private,School,Married,Service,Other,Male,60,0
2055,40,Private,Doctorate,Married,Professional,White,Male,45,0
2056,22,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
2057,39,Government,Masters,Married,Professional,Other,Female,38,1
2058,32,Private,Bachelors,Married,Sales,White,Male,50,1
2059,61,Other/Unknown,HS-grad,Married,Other/Unknown,White,Male,40,0
2060,34,Government,Masters,Married,White-Collar,White,Male,40,1
2061,36,Private,Some-college,Single,Service,Other,Female,40,0
2062,24,Private,HS-grad,Single,Blue-Collar,White,Female,48,0
2063,53,Private,Bachelors,Divorced,Professional,White,Male,55,1
2064,39,Private,Some-college,Married,Service,White,Female,24,0
2065,25,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
2066,26,Private,Assoc,Single,Sales,White,Male,30,0
2067,38,Private,Bachelors,Single,White-Collar,Other,Male,40,0
2068,21,Private,Some-college,Single,Sales,White,Female,40,0
2069,25,Private,School,Single,Blue-Collar,Other,Male,40,0
2070,34,Government,Some-college,Married,Professional,Other,Male,40,1
2071,69,Other/Unknown,HS-grad,Divorced,Other/Unknown,White,Female,40,0
2072,33,Private,Bachelors,Married,Professional,White,Male,40,0
2073,62,Other/Unknown,HS-grad,Married,Other/Unknown,Other,Male,24,0
2074,46,Government,Assoc,Divorced,White-Collar,White,Female,38,0
2075,29,Self-Employed,Bachelors,Separated,Professional,White,Male,40,0
2076,25,Private,School,Married,Service,White,Female,40,0
2077,53,Government,Masters,Married,White-Collar,White,Male,60,1
2078,38,Private,Some-college,Single,White-Collar,White,Female,40,0
2079,30,Private,Assoc,Married,White-Collar,White,Female,24,0
2080,32,Government,Some-college,Single,White-Collar,Other,Female,40,0
2081,36,Self-Employed,Bachelors,Married,Blue-Collar,White,Male,50,0
2082,69,Private,HS-grad,Widowed,Service,White,Female,18,0
2083,57,Private,Assoc,Divorced,Professional,Other,Female,40,0
2084,24,Private,Bachelors,Single,White-Collar,Other,Female,40,0
2085,54,Private,HS-grad,Married,Blue-Collar,White,Male,40,1
2086,43,Private,Bachelors,Married,Blue-Collar,White,Male,40,1
2087,26,Private,School,Single,Sales,Other,Male,51,0
2088,35,Private,Bachelors,Single,Professional,White,Female,40,0
2089,37,Private,Masters,Divorced,White-Collar,White,Male,45,1
2090,28,Private,Assoc,Married,Professional,White,Male,50,1
2091,38,Private,HS-grad,Single,Service,Other,Female,24,0
2092,27,Self-Employed,Some-college,Single,Service,Other,Male,40,0
2093,31,Private,HS-grad,Separated,Blue-Collar,White,Female,40,0
2094,30,Private,Some-college,Divorced,White-Collar,White,Female,40,0
2095,22,Private,HS-grad,Single,Sales,White,Female,40,0
2096,49,Government,Some-college,Married,Service,White,Male,44,1
2097,39,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,60,1
2098,17,Private,Some-college,Single,White-Collar,White,Male,20,0
2099,38,Private,Assoc,Married,Blue-Collar,White,Male,40,1
2100,40,Private,HS-grad,Single,White-Collar,White,Female,38,0
2101,26,Private,HS-grad,Married,Service,White,Male,40,0
2102,26,Private,HS-grad,Married,Blue-Collar,White,Male,65,0
2103,33,Private,School,Single,Sales,White,Female,40,0
2104,39,Government,Some-college,Married,Blue-Collar,White,Male,60,1
2105,18,Private,HS-grad,Single,Service,White,Female,20,0
2106,28,Private,Some-college,Married,White-Collar,White,Male,40,1
2107,31,Private,Assoc,Divorced,Blue-Collar,White,Male,40,0
2108,38,Private,Assoc,Single,Service,White,Female,40,0
2109,25,Private,Bachelors,Single,Professional,White,Female,40,0
2110,38,Self-Employed,HS-grad,Divorced,Sales,White,Male,55,0
2111,37,Government,Some-college,Married,White-Collar,White,Male,38,0
2112,69,Other/Unknown,Bachelors,Married,Other/Unknown,White,Male,10,1
2113,27,Private,HS-grad,Single,Service,White,Female,40,0
2114,29,Government,Bachelors,Single,Professional,White,Female,40,0
2115,35,Private,HS-grad,Separated,White-Collar,White,Female,40,0
2116,19,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
2117,62,Private,HS-grad,Widowed,White-Collar,White,Female,20,0
2118,20,Other/Unknown,Some-college,Single,Other/Unknown,White,Male,20,0
2119,30,Private,HS-grad,Married,Service,White,Male,40,0
2120,37,Private,HS-grad,Married,White-Collar,White,Male,60,1
2121,32,Private,HS-grad,Married,Professional,White,Male,48,0
2122,53,Private,HS-grad,Married,Blue-Collar,White,Male,40,1
2123,62,Government,HS-grad,Single,Blue-Collar,White,Male,40,0
2124,55,Private,Some-college,Married,Blue-Collar,White,Male,52,0
2125,32,Private,School,Single,Blue-Collar,White,Male,50,0
2126,41,Private,Assoc,Married,White-Collar,White,Female,44,1
2127,57,Private,HS-grad,Widowed,Blue-Collar,White,Male,50,0
2128,56,Self-Employed,Some-college,Married,Sales,White,Male,45,0
2129,28,Private,Some-college,Separated,Blue-Collar,White,Male,40,0
2130,55,Private,HS-grad,Married,Blue-Collar,White,Male,40,1
2131,37,Private,Masters,Single,Professional,White,Female,40,0
2132,52,Private,Bachelors,Married,White-Collar,White,Male,40,1
2133,52,Private,Doctorate,Married,White-Collar,White,Male,38,1
2134,38,Government,Doctorate,Married,White-Collar,White,Male,50,1
2135,31,Private,Some-college,Married,White-Collar,White,Male,65,1
2136,30,Government,Assoc,Married,Service,White,Male,45,0
2137,40,Private,Bachelors,Married,White-Collar,White,Male,60,0
2138,45,Private,Some-college,Married,Blue-Collar,Other,Male,40,0
2139,32,Government,Prof-school,Married,Professional,White,Male,50,1
2140,40,Government,Some-college,Married,Service,White,Male,40,1
2141,22,Private,HS-grad,Married,Service,White,Male,40,0
2142,39,Private,HS-grad,Married,Blue-Collar,White,Male,40,1
2143,40,Private,Some-college,Separated,Blue-Collar,White,Male,47,1
2144,64,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,40,1
2145,33,Private,HS-grad,Single,Service,White,Male,40,0
2146,44,Private,Some-college,Married,Blue-Collar,White,Male,40,0
2147,64,Other/Unknown,HS-grad,Married,Other/Unknown,White,Male,40,1
2148,21,Private,HS-grad,Single,Blue-Collar,White,Male,38,0
2149,36,Government,HS-grad,Divorced,White-Collar,White,Female,48,0
2150,46,Other/Unknown,Assoc,Divorced,Other/Unknown,White,Male,30,0
2151,33,Government,Masters,Married,Professional,White,Male,50,1
2152,32,Government,HS-grad,Married,Service,White,Male,41,0
2153,29,Government,Some-college,Single,Professional,White,Female,40,0
2154,39,Private,Bachelors,Married,White-Collar,White,Male,40,1
2155,37,Self-Employed,Assoc,Married,Sales,White,Male,50,1
2156,24,Private,Bachelors,Single,White-Collar,White,Male,40,0
2157,51,Private,Some-college,Married,White-Collar,White,Male,45,0
2158,61,Private,School,Widowed,Blue-Collar,Other,Male,40,0
2159,44,Government,Prof-school,Married,Professional,White,Male,75,1
2160,62,Private,HS-grad,Widowed,Service,White,Female,24,0
2161,62,Private,Some-college,Married,Blue-Collar,White,Male,45,0
2162,66,Other/Unknown,Bachelors,Married,Other/Unknown,White,Male,6,0
2163,25,Private,HS-grad,Married,Sales,White,Male,40,0
2164,38,Private,HS-grad,Married,Blue-Collar,White,Male,50,0
2165,30,Private,HS-grad,Single,Blue-Collar,Other,Male,46,0
2166,26,Private,Some-college,Single,Service,White,Female,40,0
2167,22,Private,Bachelors,Single,White-Collar,White,Male,30,0
2168,17,Other/Unknown,School,Single,Other/Unknown,White,Female,32,0
2169,61,Private,School,Divorced,Blue-Collar,White,Male,40,1
2170,27,Private,School,Married,Blue-Collar,White,Male,40,0
2171,28,Private,HS-grad,Married,White-Collar,White,Male,40,0
2172,27,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
2173,60,Private,Some-college,Married,Blue-Collar,White,Male,40,0
2174,20,Private,Some-college,Single,Service,White,Female,20,0
2175,37,Private,HS-grad,Married,Service,Other,Female,60,0
2176,58,Private,Some-college,Married,Professional,White,Male,42,0
2177,43,Private,Bachelors,Married,Blue-Collar,White,Male,84,1
2178,60,Private,School,Married,Blue-Collar,White,Male,40,0
2179,46,Other/Unknown,HS-grad,Married,Blue-Collar,White,Female,25,0
2180,45,Government,Masters,Divorced,White-Collar,White,Male,45,0
2181,28,Self-Employed,School,Single,Blue-Collar,White,Male,40,0
2182,23,Private,School,Single,Blue-Collar,White,Female,40,0
2183,27,Private,School,Married,Blue-Collar,White,Male,40,0
2184,46,Private,HS-grad,Married,Blue-Collar,White,Male,43,1
2185,39,Private,HS-grad,Divorced,White-Collar,White,Female,40,0
2186,40,Private,Some-college,Married,Sales,White,Male,50,0
2187,39,Private,Bachelors,Single,White-Collar,White,Male,40,0
2188,29,Private,HS-grad,Divorced,Service,White,Female,36,0
2189,59,Self-Employed,HS-grad,Married,Sales,White,Male,60,1
2190,62,Government,Masters,Separated,Professional,White,Female,24,0
2191,45,Government,Bachelors,Divorced,Professional,White,Female,40,0
2192,35,Private,Some-college,Married,Professional,Other,Male,60,0
2193,49,Private,Bachelors,Married,Professional,White,Female,20,1
2194,37,Self-Employed,HS-grad,Single,Blue-Collar,White,Male,35,0
2195,39,Private,HS-grad,Divorced,Sales,White,Male,60,0
2196,21,Government,Some-college,Single,Professional,White,Male,20,0
2197,31,Private,Some-college,Widowed,White-Collar,White,Female,30,0
2198,60,Private,School,Divorced,Service,White,Male,40,0
2199,24,Private,Bachelors,Separated,White-Collar,White,Female,40,0
2200,28,Private,HS-grad,Married,Sales,White,Male,40,0
2201,29,Private,HS-grad,Divorced,Sales,White,Male,45,0
2202,34,Private,Some-college,Divorced,Sales,White,Female,60,0
2203,25,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
2204,54,Private,School,Married,Service,White,Male,35,0
2205,40,Private,HS-grad,Married,Service,White,Male,45,0
2206,61,Self-Employed,HS-grad,Married,White-Collar,White,Male,40,1
2207,27,Private,Some-college,Single,Blue-Collar,White,Male,40,0
2208,43,Private,HS-grad,Married,White-Collar,Other,Male,40,1
2209,21,Private,Some-college,Single,Sales,White,Male,30,0
2210,28,Self-Employed,School,Married,Blue-Collar,White,Male,40,0
2211,65,Other/Unknown,HS-grad,Married,Other/Unknown,White,Male,1,1
2212,51,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,40,0
2213,40,Private,Assoc,Single,Blue-Collar,White,Male,40,0
2214,26,Private,Masters,Single,White-Collar,White,Female,48,0
2215,39,Private,School,Married,Blue-Collar,Other,Male,45,0
2216,24,Private,Bachelors,Single,Professional,White,Female,8,0
2217,25,Private,Bachelors,Single,White-Collar,White,Male,40,0
2218,36,Private,Masters,Single,White-Collar,White,Male,50,1
2219,24,Private,School,Married,Blue-Collar,Other,Male,40,0
2220,24,Private,HS-grad,Single,Service,Other,Female,20,0
2221,17,Private,School,Single,Blue-Collar,White,Male,25,0
2222,36,Private,Some-college,Widowed,Sales,White,Female,20,0
2223,19,Private,HS-grad,Single,Blue-Collar,White,Male,60,0
2224,67,Government,Bachelors,Widowed,White-Collar,White,Female,40,0
2225,26,Private,Some-college,Single,Blue-Collar,White,Male,40,0
2226,90,Government,HS-grad,Married,Blue-Collar,White,Male,30,0
2227,43,Private,Bachelors,Married,White-Collar,White,Male,50,1
2228,25,Private,Some-college,Married,Blue-Collar,White,Male,60,1
2229,25,Private,Some-college,Single,Blue-Collar,White,Male,55,0
2230,37,Self-Employed,Assoc,Married,Blue-Collar,White,Male,50,0
2231,50,Self-Employed,HS-grad,Widowed,White-Collar,Other,Female,48,0
2232,49,Private,Some-college,Married,Blue-Collar,White,Male,43,0
2233,22,Other/Unknown,Some-college,Single,Other/Unknown,White,Male,30,0
2234,37,Private,Masters,Single,Professional,White,Female,38,1
2235,27,Private,Bachelors,Divorced,White-Collar,White,Male,52,0
2236,19,Private,HS-grad,Single,Blue-Collar,White,Male,35,0
2237,36,Private,HS-grad,Married,Service,White,Male,50,0
2238,60,Private,Bachelors,Married,Professional,White,Male,50,1
2239,37,Self-Employed,HS-grad,Divorced,Blue-Collar,White,Male,40,0
2240,26,Private,HS-grad,Divorced,Blue-Collar,White,Male,55,0
2241,36,Private,Some-college,Single,White-Collar,White,Male,40,0
2242,46,Private,School,Married,Service,Other,Female,35,1
2243,23,Other/Unknown,Some-college,Single,Other/Unknown,Other,Male,20,0
2244,49,Private,Bachelors,Divorced,White-Collar,Other,Female,40,0
2245,39,Government,HS-grad,Separated,White-Collar,White,Female,35,0
2246,30,Private,Assoc,Married,Professional,White,Male,40,0
2247,64,Self-Employed,School,Married,Service,White,Male,25,0
2248,48,Private,Some-college,Divorced,White-Collar,White,Female,55,0
2249,35,Private,Some-college,Divorced,Service,Other,Female,40,0
2250,49,Private,Some-college,Divorced,White-Collar,White,Female,38,0
2251,22,Private,HS-grad,Single,White-Collar,White,Female,28,0
2252,17,Government,School,Single,Service,White,Female,16,0
2253,52,Private,HS-grad,Single,White-Collar,White,Female,40,0
2254,51,Private,Bachelors,Married,White-Collar,White,Male,60,1
2255,30,Private,HS-grad,Married,White-Collar,White,Male,40,0
2256,65,Other/Unknown,School,Divorced,Other/Unknown,Other,Female,15,0
2257,31,Private,Some-college,Married,Blue-Collar,White,Male,45,0
2258,22,Government,Some-college,Single,White-Collar,White,Female,40,0
2259,19,Private,HS-grad,Single,Service,White,Female,30,0
2260,41,Government,Bachelors,Divorced,White-Collar,White,Male,40,0
2261,23,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
2262,32,Private,Bachelors,Married,Professional,Other,Male,40,0
2263,28,Private,Bachelors,Single,Sales,White,Female,40,0
2264,31,Private,Masters,Married,Sales,White,Male,40,1
2265,48,Private,HS-grad,Single,Blue-Collar,Other,Female,40,0
2266,50,Self-Employed,Bachelors,Married,Blue-Collar,White,Male,50,0
2267,60,Private,Bachelors,Married,White-Collar,White,Male,45,1
2268,24,Private,Some-college,Single,White-Collar,White,Male,20,0
2269,19,Private,School,Single,Blue-Collar,White,Male,40,0
2270,24,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
2271,48,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
2272,46,Private,Some-college,Married,Blue-Collar,White,Male,45,1
2273,26,Private,HS-grad,Single,White-Collar,White,Male,60,0
2274,46,Private,HS-grad,Married,Sales,White,Male,35,0
2275,42,Private,Bachelors,Divorced,Professional,White,Female,15,0
2276,31,Private,HS-grad,Divorced,White-Collar,White,Male,40,0
2277,23,Private,Bachelors,Single,Service,White,Male,40,0
2278,51,Private,Masters,Divorced,Service,White,Male,40,0
2279,36,Self-Employed,HS-grad,Married,Blue-Collar,White,Male,45,0
2280,37,Private,Assoc,Married,Blue-Collar,White,Male,40,1
2281,38,Self-Employed,HS-grad,Married,Sales,White,Male,64,0
2282,30,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
2283,34,Private,HS-grad,Single,Blue-Collar,White,Female,35,0
2284,36,Private,HS-grad,Divorced,Professional,White,Female,40,1
2285,33,Private,HS-grad,Divorced,White-Collar,White,Female,45,0
2286,47,Private,Masters,Divorced,Professional,White,Male,40,1
2287,51,Private,Prof-school,Single,Professional,White,Female,50,1
2288,21,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
2289,30,Private,Some-college,Single,Service,White,Female,40,0
2290,30,Private,HS-grad,Single,Blue-Collar,White,Female,40,0
2291,22,Private,Some-college,Single,Service,White,Male,40,0
2292,18,Private,School,Single,Blue-Collar,White,Male,30,0
2293,58,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
2294,22,Private,HS-grad,Single,Service,White,Female,48,0
2295,24,Private,Some-college,Married,Blue-Collar,White,Male,70,1
2296,39,Government,HS-grad,Married,White-Collar,Other,Female,20,0
2297,18,Private,HS-grad,Single,Service,White,Male,20,0
2298,40,Private,Some-college,Divorced,White-Collar,White,Female,40,0
2299,31,Private,HS-grad,Single,White-Collar,White,Female,8,0
2300,80,Private,HS-grad,Married,White-Collar,White,Female,16,0
2301,34,Private,Some-college,Married,Blue-Collar,White,Male,40,1
2302,35,Self-Employed,HS-grad,Divorced,Sales,White,Male,50,1
2303,29,Private,School,Divorced,Blue-Collar,White,Female,52,0
2304,52,Other/Unknown,Some-college,Married,Other/Unknown,White,Female,40,1
2305,21,Self-Employed,Some-college,Single,White-Collar,White,Female,15,0
2306,45,Private,School,Married,Service,White,Female,40,0
2307,50,Private,HS-grad,Separated,Blue-Collar,Other,Male,40,0
2308,48,Private,HS-grad,Divorced,White-Collar,White,Female,35,0
2309,22,Private,Assoc,Single,White-Collar,White,Female,37,0
2310,26,Private,HS-grad,Single,Service,Other,Male,40,0
2311,54,Private,Some-college,Separated,White-Collar,White,Female,40,0
2312,20,Private,Some-college,Single,Blue-Collar,White,Male,30,0
2313,45,Government,School,Married,Service,White,Female,25,0
2314,57,Self-Employed,Bachelors,Married,White-Collar,White,Male,60,1
2315,39,Private,HS-grad,Married,Sales,Other,Male,26,0
2316,46,Government,Some-college,Separated,White-Collar,White,Female,40,0
2317,32,Government,Bachelors,Divorced,Professional,White,Female,35,0
2318,34,Private,School,Married,Blue-Collar,White,Male,40,0
2319,40,Other/Unknown,Assoc,Married,Other/Unknown,White,Male,15,0
2320,31,Private,Assoc,Married,Service,Other,Female,24,0
2321,30,Private,Assoc,Married,White-Collar,White,Male,50,1
2322,25,Private,Masters,Single,White-Collar,White,Male,40,0
2323,48,Self-Employed,HS-grad,Separated,Service,White,Female,25,0
2324,29,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
2325,30,Private,HS-grad,Single,Blue-Collar,White,Female,40,0
2326,56,Private,School,Separated,Service,White,Female,32,0
2327,39,Private,Assoc,Single,Blue-Collar,White,Male,40,0
2328,25,Private,HS-grad,Divorced,Blue-Collar,White,Female,40,0
2329,29,Private,Some-college,Divorced,Professional,White,Female,24,0
2330,43,Private,HS-grad,Single,Service,Other,Female,24,0
2331,45,Private,Assoc,Married,Professional,White,Male,40,1
2332,33,Private,HS-grad,Married,Blue-Collar,White,Male,46,0
2333,41,Government,Bachelors,Married,Professional,White,Male,40,1
2334,60,Private,School,Married,Blue-Collar,Other,Female,30,0
2335,45,Self-Employed,Masters,Single,Professional,White,Female,60,0
2336,24,Private,Some-college,Single,Professional,White,Male,40,0
2337,33,Private,Some-college,Divorced,Sales,White,Female,25,0
2338,42,Private,HS-grad,Divorced,Service,White,Female,30,0
2339,24,Private,HS-grad,Single,Service,White,Male,40,0
2340,43,Self-Employed,Bachelors,Divorced,White-Collar,White,Male,60,0
2341,20,Private,School,Single,Blue-Collar,White,Male,40,0
2342,40,Government,Bachelors,Single,Professional,White,Female,45,0
2343,55,Private,HS-grad,Divorced,Blue-Collar,White,Male,40,0
2344,26,Self-Employed,Some-college,Married,Blue-Collar,White,Male,78,0
2345,33,Private,Masters,Married,Professional,White,Male,45,0
2346,39,Private,HS-grad,Married,Blue-Collar,Other,Male,40,1
2347,57,Private,School,Married,Blue-Collar,White,Male,40,0
2348,34,Self-Employed,HS-grad,Married,Professional,White,Male,40,1
2349,21,Private,Some-college,Single,Sales,White,Male,40,0
2350,25,Private,Bachelors,Married,Professional,White,Male,50,0
2351,64,Government,Assoc,Married,White-Collar,White,Male,45,1
2352,32,Private,HS-grad,Married,Blue-Collar,White,Male,40,1
2353,55,Self-Employed,Bachelors,Married,Sales,White,Male,60,1
2354,17,Private,School,Single,Service,White,Male,20,0
2355,57,Self-Employed,Some-college,Married,White-Collar,White,Male,40,1
2356,34,Government,Prof-school,Married,Professional,White,Male,40,1
2357,62,Private,Bachelors,Married,Blue-Collar,White,Male,40,0
2358,40,Self-Employed,Bachelors,Married,Sales,White,Male,40,0
2359,26,Private,HS-grad,Single,Service,Other,Male,40,0
2360,54,Self-Employed,Doctorate,Married,Professional,White,Male,60,1
2361,32,Self-Employed,Bachelors,Married,Service,Other,Male,50,1
2362,40,Private,Some-college,Married,Sales,White,Male,40,0
2363,40,Government,Assoc,Single,White-Collar,White,Female,40,0
2364,41,Private,HS-grad,Divorced,White-Collar,White,Male,50,0
2365,47,Private,School,Married,Blue-Collar,White,Male,40,1
2366,80,Private,Prof-school,Married,Professional,White,Male,35,1
2367,30,Private,Assoc,Married,Blue-Collar,White,Male,40,0
2368,45,Private,HS-grad,Divorced,White-Collar,White,Female,40,0
2369,50,Private,School,Married,Blue-Collar,White,Male,40,0
2370,48,Private,School,Married,Blue-Collar,White,Male,44,0
2371,31,Private,HS-grad,Married,White-Collar,White,Male,40,1
2372,60,Self-Employed,Bachelors,Married,Professional,White,Male,40,1
2373,61,Private,School,Married,Blue-Collar,White,Male,40,0
2374,23,Private,Some-college,Single,Service,White,Female,30,0
2375,56,Private,Some-college,Married,White-Collar,Other,Male,50,1
2376,23,Private,HS-grad,Single,Blue-Collar,White,Male,50,0
2377,44,Government,Assoc,Divorced,White-Collar,White,Female,40,0
2378,23,Private,Some-college,Single,White-Collar,Other,Male,22,0
2379,38,Private,HS-grad,Married,Blue-Collar,White,Male,40,0
2380,20,Government,HS-grad,Married,Service,Other,Male,30,0
2381,46,Government,Some-college,Married,White-Collar,Other,Male,40,0
2382,32,Private,Some-college,Married,Blue-Collar,White,Male,60,0
2383,54,Government,Masters,Single,Professional,White,Female,32,1
2384,68,Private,Masters,Married,White-Collar,White,Male,40,1
2385,36,Private,HS-grad,Single,Sales,White,Female,40,0
2386,41,Private,HS-grad,Married,Blue-Collar,White,Male,60,0
2387,34,Private,Bachelors,Single,White-Collar,Other,Female,40,0
2388,41,Private,HS-grad,Married,Blue-Collar,White,Male,50,1
2389,38,Self-Employed,Masters,Married,Blue-Collar,White,Male,70,0
2390,26,Private,HS-grad,Married,Professional,White,Male,50,0
2391,39,Self-Employed,HS-grad,Married,White-Collar,White,Male,40,1
2392,45,Private,HS-grad,Separated,Blue-Collar,Other,Female,40,0
2393,66,Self-Employed,Doctorate,Married,Sales,White,Male,25,1
2394,60,Private,School,Widowed,Blue-Collar,Other,Male,40,0
2395,55,Self-Employed,HS-grad,Married,White-Collar,White,Male,45,1
2396,26,Private,Some-college,Separated,Sales,Other,Male,48,0
2397,17,Private,School,Single,Service,Other,Male,17,0
2398,42,Private,Some-college,Married,Professional,White,Male,40,1
2399,46,Private,Assoc,Single,White-Collar,White,Male,40,0
2400,41,Private,HS-grad,Single,White-Collar,White,Female,40,0
2401,25,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
2402,27,Private,HS-grad,Divorced,Blue-Collar,White,Male,50,0
2403,33,Private,HS-grad,Married,Sales,White,Male,40,1
2404,53,Government,HS-grad,Married,White-Collar,Other,Male,40,1
2405,29,Private,HS-grad,Single,Service,Other,Female,25,0
2406,20,Private,Some-college,Single,White-Collar,White,Female,30,0
2407,46,Private,HS-grad,Single,Blue-Collar,White,Male,17,0
2408,62,Private,School,Divorced,Service,White,Female,38,0
2409,27,Private,HS-grad,Married,Blue-Collar,White,Male,62,0
2410,44,Government,Masters,Married,Professional,Other,Male,40,1
2411,51,Private,Some-college,Widowed,White-Collar,White,Female,40,0
2412,29,Private,School,Married,Service,White,Female,40,0
2413,31,Private,HS-grad,Married,Sales,White,Female,18,0
2414,21,Private,Some-college,Single,Professional,White,Female,10,0
2415,19,Private,Some-college,Single,Sales,White,Male,35,0
2416,53,Private,HS-grad,Widowed,White-Collar,Other,Female,40,0
2417,45,Private,Some-college,Married,White-Collar,White,Male,40,0
2418,81,Private,Some-college,Divorced,White-Collar,White,Female,20,0
2419,21,Other/Unknown,Some-college,Single,Other/Unknown,White,Female,40,0
2420,34,Private,Bachelors,Single,Professional,White,Female,40,0
2421,53,Government,HS-grad,Married,Service,White,Male,40,1
2422,42,Private,Some-college,Married,White-Collar,White,Male,40,0
2423,22,Government,Bachelors,Single,Professional,White,Female,20,0
2424,35,Private,Bachelors,Single,Sales,Other,Male,40,0
2425,29,Private,Bachelors,Single,White-Collar,Other,Female,40,0
2426,34,Private,Assoc,Married,Service,White,Male,40,0
2427,62,Other/Unknown,Some-college,Married,Other/Unknown,White,Female,45,1
2428,48,Self-Employed,Some-college,Single,Service,White,Male,40,0
2429,22,Private,Bachelors,Single,Professional,White,Male,20,0
2430,59,Government,HS-grad,Widowed,Blue-Collar,Other,Male,40,0
2431,49,Private,HS-grad,Divorced,Blue-Collar,Other,Male,40,0
2432,34,Private,Assoc,Divorced,Blue-Collar,White,Male,50,0
2433,32,Private,School,Married,Blue-Collar,White,Male,35,0
2434,34,Private,HS-grad,Divorced,Blue-Collar,White,Male,45,0
2435,27,Private,HS-grad,Divorced,Blue-Collar,White,Male,40,0
2436,60,Government,Some-college,Married,Service,White,Male,40,0
2437,40,Private,School,Separated,Blue-Collar,White,Male,35,0
2438,36,Government,Bachelors,Single,Service,Other,Male,40,0
2439,43,Private,Some-college,Divorced,Blue-Collar,White,Male,45,0
2440,30,Government,Bachelors,Married,Professional,White,Male,40,1
2441,32,Government,HS-grad,Married,Blue-Collar,White,Male,40,1
2442,29,Private,School,Married,Blue-Collar,White,Male,40,1
2443,56,Government,Prof-school,Married,White-Collar,Other,Male,40,1
2444,41,Government,Prof-school,Married,Professional,White,Male,45,1
2445,30,Private,Some-college,Married,White-Collar,Other,Male,50,1
2446,56,Self-Employed,School,Married,Blue-Collar,White,Male,20,0
2447,24,Private,Some-college,Single,Professional,Other,Male,40,0
2448,28,Private,HS-grad,Single,Blue-Collar,White,Male,40,0
2449,44,Private,HS-grad,Divorced,Blue-Collar,White,Male,40,0
2450,53,Private,Masters,Married,White-Collar,White,Male,65,1
2451,59,Self-Employed,HS-grad,Married,Sales,White,Male,60,0
2452,24,Private,Some-college,Married,Sales,Other,Female,30,0
2453,50,Private,Bachelors,Married,Sales,White,Male,40,1
2454,47,Government,HS-grad,Single,White-Collar,White,Female,40,0
2455,35,Government,Bachelors,Widowed,White-Collar,White,Male,40,1
2456,59,Private,HS-grad,Married,Blue-Collar,White,Male,40,1
